"State Code","State Name (In English)","District Code","District Name (In English)","Development Block Code","Development Block Name (In English)","Village Code","Village Name (In English)"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645196","7 Km Farm"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645166","Afra Bay"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645144","Akupa"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645168","Alexandera River"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645142","Anul/Anula"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645169","Ayouk"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645162","Bahua"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645148","Bewai/Kuwak"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645200","Campbell Bay"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645204","Chaw Nallaha"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645189","Chingen (Incl.Fc At Magar Nalla"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645167","Dairkurat"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645184","Dakhiyon (Fc)"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645179","Danlet"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645174","Dogmar River"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645159","Elahi/Ilhoya"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645190","Galathia River (Fc)"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645192","Gandhi Nagar"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645205","Gol Tikrey"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645199","Govinda Nagar"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645182","Hin-Pou-Chi"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645151","Hoin Incl. Ikuia"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645154","Hokesiang"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645188","Indira Point"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645186","In-Hig-Loi"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645145","Inlock/Infock"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645157","Inlock/Pattia"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645160","Inod"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645195","Joginder Nagar"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645177","Kasintung"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645165","Katahu"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645149","Kiyang"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645178","Koe"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645183","Kokeon"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645175","Kopenheat"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645210","Lanaya"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645207","Lawful"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645193","Laxmi Nagar"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645143","Makhahu/Makachua"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645141","Minlana/Minlan"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645206","Navy Dera"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645202","Not Yet Named"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645203","Not Yet Named"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645197","Not Yet Named (At 27.9 Km)-A"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645156","Olinchi/Bombay"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645181","Patatiya"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645209","Patisang"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645155","Pattia (Pulopattia)"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645152","Pea"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645161","Pehayo"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645211","Pitayo"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645150","Pulloullo/Puloulo"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645187","Pulobaha"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645147","Pulobaha/Pathathifen"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645170","Pulobed"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645164","Pulobed/Lababu"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645180","Pulobhabi"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645153","Pulobha/Pulobahan"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645171","Pulokunji"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645140","Pulomilo"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645158","Pulopanja"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645185","Pulopucca"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645146","Pulotalia/Pulotohio"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645201","Ranganathan Bay"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645173","Renguang"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645191","Sastri Nagar"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645198","Shompen Hut"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645172","Shompen Village-A"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645176","Shompen Village-B"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645208","Trinket Bay"
"35","Andaman And Nicobar Islands","603","Nicobars","6498","Campbell Bay","645194","Vijoy Nagar"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645015","Arong"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645025","Big Lapati"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645023","Chuckchucha"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645018","Iaf Camp"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645131","Kakana"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645016","Kimois"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645027","Kinmai"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645022","Kinyuka"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645163","Kondul"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645019","Malacca"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645095","Malacca*"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645012","Mus"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645088","Mus*"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645020","Perka"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645014","Sawai"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645026","Small Lapati"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645021","Tamaloo"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645024","Tapoiming"
"35","Andaman And Nicobar Islands","603","Nicobars","6499","Car Nicobar","645013","Teetop"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645030","Alhiat"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645053","Alhitoth/Alhiloth*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645094","Al-Hit-Touch/Balu Basti"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645085","Alipa/Alips*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645052","Alkaipoh/Alkripoh*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645115","Alointung*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645035","Aloora*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645034","Aloorang"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645117","Alpintu/Alpintung*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645101","Alreak*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645076","Alsama*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645074","Altaful*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645093","Altheak"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645121","Alukian/Alhukheck"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645066","Atkuna/Alkun*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645116","Banderkari/Pulu"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645044","Bengali"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645129","Berainak/Badnak"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645045","Bompoka Island*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645109","Bumpal*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645096","Champin"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645113","Chanel/Chanol*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645119","Changua/Changup"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645065","Chengtamilan*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645050","Chonghipoh*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645029","Chongkamong"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645059","Chonsiyala*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645128","Chota Inak"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645039","Chukmachi"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645111","Daring"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645036","Enam"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645083","E-Wall"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645069","Hakonhala*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645073","Halnatai/Hoinatai*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645087","Hindra*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645097","Hinnunga*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645102","Hintona*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645048","Hitlat*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645136","Hockook*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645063","Hoipoh*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645060","Hontona*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645057","Hutnyak*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645123","Inmae*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645099","Inroak/Chinlak*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645100","Itoi*(Hitui)"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645047","Jansin*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645082","Japan Tikri"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645046","Jhoola*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645017","Kakana"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645038","Kalara*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645043","Kalasi"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645068","Kalminikum/Kalmenkam*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645127","Kamorta/Kalatapu(Incl.Sanuh)"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645056","Kamriak*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645042","Kanahinot"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645077","Kapanga*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645139","Kapila*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645110","Karan/Karav*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645054","Katahuwa*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645075","Kavatinpeu/Karahinpoh*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645122","Knot"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645134","Kuikua*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645031","Kuitasuk"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645061","Kulatapangia*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645055","Kumikia*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645078","Kupinga*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645092","Lanuanga*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645086","Lapat*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645037","Luxi"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645106","Manjula*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645064","Mapayala*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645112","Maru*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645120","Masala Tapu*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645049","Mavatapis/Maratapia*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645081","Meenakshi Ram Nagar"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645079","Mildera"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645041","Minyuk"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645133","Mohreak/Kohreakap*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645125","Munak Incl. Ponioo/Moul"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645090","Neang*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645105","Neeche Tapu*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645132","Nyicalang*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645107","Okiya/Chiya*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645108","Olinpon/Alhinpon*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645058","Ongulongho*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645089","Payak*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645124","Payuha"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645104","Pilpilow"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645032","Raihion"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645126","Ramzoo*(Ramjaw)"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645070","Reakomlong*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645040","Safedbalu*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645135","Safedbalu*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645051","Sanaya*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645071","Sonomkuwa*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645028","Tahaila"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645114","Tanae*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645067","Tani*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645098","Tapani/Tapainy*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645138","Tapiang*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645091","Tapong Incl. Kabila"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645072","Tavinkin/Tavakin*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645033","Tillang Chong Island*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645118","Tomae/Inmae*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645137","Trinket*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645103","Uper Tapu*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645080","Upper Katchal"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645130","Vikas Nagar"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645062","Vyavtapu*"
"35","Andaman And Nicobar Islands","603","Nicobars","6500","Nancowrie","645084","W.B.Katchal/Hindra*"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645280","Aam Tikry (Fdca)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645227","Aerial Bay (Rv)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645253","Amber Chad (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645282","Austin Creek (Fdca)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645287","Austin II (Efa)"
"35","Andaman And Nicobar Islands","632","North And Middle Andaman","6492","Diglipur","645285","Austin IX (Fc)"
